Id,Company,Product,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Price_euros,Class
21,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows 10,979.0,3
22,Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1298.0,0
23,Dell,Inspiron 5370,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,955.0,3
24,Dell,Latitude 5590,Ultrabook,15.6,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1096.16,6
25,Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,1349.0,0
26,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1629.0,4
27,Dell,Inspiron 7773,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce 150MX,Windows 10,1549.0,7
28,Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2397.0,1
29,Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,1085.0,6
30,Dell,Inspiron 5370,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,931.88,3
31,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1279.0,0
32,Dell,Alienware 17,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2456.34,1
